scenario_id,scenario_name,iterations,max_steps,prob_reach_ot,prob_reach_safety,mean_critical_infected,mean_total_infected,median_time_to_ot,p95_total_infected,prob_reach_ot_absolute_reduction_pp,prob_reach_ot_relative_reduction_pct,prob_reach_safety_absolute_reduction_pp,prob_reach_safety_relative_reduction_pct,prob_reach_ot_ci95_low,prob_reach_ot_ci95_high,prob_reach_safety_ci95_low,prob_reach_safety_ci95_high
S0,Current controls,1000,12,0.821,0.036,7.532,10.458,8.0,16,0.0,0.0,0.0,0.0,0.7960248554543453,0.8435182756531919,0.026115418024352906,0.0494359438638175
S1,Patch vendor path,1000,12,0.391,0.009,4.233,6.073,9.0,14,42.99999999999999,52.37515225334957,2.6999999999999997,75.0,0.3612272120461715,0.42160705184566183,0.004742006589011481,0.017016007822824013
S2,Strengthen OT segmentation,1000,12,0.135,0.0,3.656,5.344,10.0,8,68.6,83.55663824604142,3.5999999999999996,100.0,0.11521104013883013,0.15758259582923498,0.0,0.003826898586390522
S3,Rapid EDR isolation,1000,12,0.561,0.022,5.272,7.261,7.0,13,25.99999999999999,31.668696711327637,1.4,38.88888888888889,0.5300657570538558,0.5914673613186046,0.014572598673771597,0.03308591637481774
S4,Combined controls,1000,12,0.024,0.0,2.485,3.658,10.0,6,79.69999999999999,97.07673568818514,3.5999999999999996,100.0,0.016180052367186296,0.03546315508705749,0.0,0.003826898586390522
